; EV[40th European Go Congress 1995 - Main tournament]
; PC[PL, Tuchola]
; DT[1995-07-22,1995-08-05]
;
;Pl  Name                Cy   Gr    1    2    3    4    5    6    7    8    9   10    MM Pt  SOS SODOS
  87 Roads Francis                  4D UK  xxx     26     3   269    76     16-     24-     96+     45-     49-    100-      0+     95-      0+     78-
  88 Szymborski Gerard              3D PL  xxx     26     4   268   105     94+     26-      0-    100+     36-      0+     63+     59-     77-      0-
  89 Frejlak Jan                    2D PL  xxx     26     5   263   125      0+     83-      0+     94+      0+     43-     45-     54-      0+     79-
  90 Grygierzec G                   2D PL  xxx     26     5   262   128     68-      0-      0+      0+      0+     65-      0+     74+     48-     69-
  91 Spode Matthias                 2D DE  xxx     26     5   261   127     76+      0+     57-     47-      0-      0+     98-      0+      0+     72-
  92 Jasiek Robert                  3D DE  xxx     26     4   261    99     20-     97-      0-      0+     98+     63-      0+     73-      0+     61-
  93 Kralj Andrej                   2D SI  xxx     26     5   260   126     96-      0+      0+     83-      0+     75+     64-     71-     78-      0+
  94 Jones Andrew                   3D UK  xxx     26     4   260   100     88-      0+     48-     89-      0+     86-      0+     84-      0+     65-
  95 Hartmann Kirsten               1D DE  xxx     26     6   259   149      0+      0+      0-      0+      0+      0+     22-     87+     47-     60-
  96 Dilger Segio                   2D DE  xxx     26     5   259   130     93+     49+     87-      0-      0-      0+      0-      0+      0-      0+
  97 Rueten-Budde Jan               2D DE  xxx     26     5   259   127      0+     92+     65-     67-     79-      0+      0+      0-      0-      0+
  98 Bejenaru D                     1D RO  xxx     26     6   258   152      0-      0+      0+     77+     92-      0+     91+     72-     86+     68-
  99 Blom Jaap                      1D NL  xxx     26     6   257   152      0+      0+      0-      0+      0-      0+      0+     67-      0+     64-
 100 Meyer Friedhelm                2D DE  xxx     26     5   257   124      0+     71-      0+     88-      0+     87+     65-     68-      0-      0+
